"cell_id","sdimx","sdimy","cell_type"
"cell_270",3673.02,-1327.8,"L5 eNeuron"
"cell_272",5074.16,-1522.7,"L5 eNeuron"
"cell_273",5049.17,-1655.5,"L6 eNeuron"
"cell_274",5024.13,-1415.4,"L5 eNeuron"
"cell_276",4929.39,-1484.8,"L6 eNeuron"
"cell_277",4888.54,-1668.2,"L6 eNeuron"
"cell_278",4759.77,-1474.1,"L5 eNeuron"
"cell_280",3962.02,-1734.5,"L5 eNeuron"
"cell_281",3828.12,-1652.8,"L5 eNeuron"
"cell_284",5288.5,-520.95,"L5 eNeuron"
"cell_285",5266.38,-623.17,"L5 eNeuron"
"cell_286",5149.68,-1818.8,"L5 eNeuron"
"cell_287",5134.28,-551.91,"L6 eNeuron"
"cell_289",5019.92,-1820.3,"L6 eNeuron"
"cell_291",5003.98,-573.52,"L6 eNeuron"
"cell_292",4872.74,-539.39,"L5 eNeuron"
"cell_293",4802.82,-420.87,"L5 eNeuron"
"cell_295",4685.65,-1042.1,"L4 eNeuron"
"cell_296",4653.69,-300.32,"L5 eNeuron"
"cell_299",4554.35,-414.39,"L5 eNeuron"
"cell_300",4510.78,-257.98,"L5 eNeuron"
"cell_301",4278.02,-1904.6,"L5 eNeuron"
"cell_304",4212.72,-174.8,"L5 eNeuron"
"cell_305",4131.72,-1936,"L5 eNeuron"
"cell_307",3950.32,-602.98,"L4 eNeuron"
"cell_308",3957.12,-212.18,"L5 eNeuron"
"cell_309",3943.12,-355.41,"L6 eNeuron"
"cell_311",3774.32,-644.44,"L5 eNeuron"
"cell_312",3734.02,-374.85,"L6 eNeuron"
"cell_313",3632.42,-546.78,"L5 eNeuron"
"cell_317",6953.87,-734.12,"L6 eNeuron"
"cell_320",6840.72,-1033.3,"L6 eNeuron"
"cell_321",6831.4,-723.27,"L6 eNeuron"
"cell_322",6835.25,-863.07,"L6 eNeuron"
"cell_323",6800.38,-1135.9,"L6 eNeuron"
"cell_324",6774.13,-1297.7,"L6 eNeuron"
"cell_325",6724.11,-701.05,"L6 eNeuron"
"cell_327",6716.01,-352.2,"L6 eNeuron"
"cell_329",6675.56,-1091.3,"L6 eNeuron"
"cell_333",6561.13,-653.28,"L6 eNeuron"
"cell_335",6534.37,-1234,"L6 eNeuron"
"cell_337",6479.36,-432.99,"L6 eNeuron"
"cell_338",6486.6,-1599.6,"L6 eNeuron"
"cell_339",6469.98,-1184,"L6 eNeuron"
"cell_342",6422.09,-856.05,"L6 eNeuron"
"cell_343",6406.68,-716.81,"L5 eNeuron"
"cell_344",6399.85,-1873.1,"L6 eNeuron"
"cell_346",6385.38,-1698,"L6 eNeuron"
"cell_348",6360.15,-985.08,"L6 eNeuron"
"cell_349",6359.06,-1559.7,"L6 eNeuron"
"cell_351",6345.2,-859.35,"L6 eNeuron"
"cell_352",6323.91,-1768.8,"L6 eNeuron"
"cell_353",6315.73,-1052.8,"L6 eNeuron"
"cell_355",6275.53,-1909.7,"L6 eNeuron"
"cell_356",6257.98,-699.51,"L6 eNeuron"
"cell_357",6241.22,-993.52,"L5 eNeuron"
"cell_360",6214.46,-775.74,"L6 eNeuron"
"cell_363",6198.16,-847.67,"L6 eNeuron"
"cell_364",6211.56,-1124.1,"L6 eNeuron"
"cell_365",6192.55,-499,"L6 eNeuron"
"cell_366",6201.32,-336.15,"L6 eNeuron"
"cell_368",6116.47,-1473.9,"L2/3 eNeuron"
"cell_369",6087.17,-904.01,"L5 eNeuron"
"cell_370",6072.37,-520.84,"L6 eNeuron"
"cell_371",6038.97,-413.05,"L6 eNeuron"
"cell_372",6038.87,-1345.6,"L6 eNeuron"
"cell_374",6005.87,-1010.8,"L5 eNeuron"
"cell_375",5996.07,-271.68,"L6 eNeuron"
"cell_376",5980.97,-475.72,"L6 eNeuron"
"cell_377",5989.77,-1259.8,"L6 eNeuron"
"cell_378",5971.07,-580.9,"L6 eNeuron"
"cell_379",5950.47,-1083.2,"L6 eNeuron"
"cell_381",5963.77,-748.67,"L6 eNeuron"
"cell_383",5918.57,-894.31,"L6 eNeuron"
"cell_384",5909.47,-1354,"L6 eNeuron"
"cell_386",5850.27,-536.66,"L6 eNeuron"
"cell_387",5804.97,-1534.4,"L6 eNeuron"
"cell_388",5807.27,-784.88,"L6 eNeuron"
"cell_389",5798.97,-432.49,"L6 eNeuron"
"cell_390",5773.97,-1147.6,"L6 eNeuron"
"cell_391",5739.27,-303.16,"L6 eNeuron"
"cell_392",5693.07,-808.9,"L5 eNeuron"
"cell_393",5669.27,-1609.4,"L4 eNeuron"
"cell_395",5647.17,-972.21,"L5 eNeuron"
"cell_396",5623.87,-1185.6,"L2/3 eNeuron"
"cell_397",5615.97,-1413.4,"L5 eNeuron"
"cell_398",5614.07,-1297.3,"L5 eNeuron"
"cell_400",5595.37,-430.62,"L6 eNeuron"
"cell_401",5576.57,-1702.9,"L5 eNeuron"
"cell_402",5568.87,-592.77,"L6 eNeuron"
"cell_403",5567.07,-1867,"L6 eNeuron"
"cell_405",5525.57,-1781.4,"L6 eNeuron"
"cell_406",5533.77,-1137.3,"L6 eNeuron"
"cell_407",5502.67,-422.92,"L5 eNeuron"
"cell_409",5479.57,-1219.8,"L6 eNeuron"
"cell_411",5444.27,-1895.4,"L2/3 eNeuron"
"cell_413",5395.87,-538.71,"L6 eNeuron"
"cell_414",5386.37,-1185.9,"L6 eNeuron"
"cell_415",5359.97,-972.19,"L5 eNeuron"
"cell_417",5388.07,-1581.5,"L6 eNeuron"
"cell_418",5350.27,-1802.9,"L5 eNeuron"
"cell_419",5294.27,-1108.7,"L6 eNeuron"
"cell_420",6633.67,-1596.6,"L6 eNeuron"
"cell_421",6480.8,-1298.9,"L6 eNeuron"
"cell_435",7261.23,-231.48,"L5 eNeuron"
"cell_436",7234.12,788.95,"L6 eNeuron"
"cell_437",7211.56,-19.28,"L6 eNeuron"
"cell_439",7160.63,295.62,"L6 eNeuron"
"cell_440",7137.62,36.9200000000001,"L6 eNeuron"
"cell_441",7124.44,843.65,"L6 eNeuron"
"cell_442",7108.25,-24.5799999999999,"L6 eNeuron"
"cell_444",7015.45,458.09,"L6 eNeuron"
"cell_445",7023.28,865.12,"L6 eNeuron"
"cell_446",7003.05,238.12,"L6 eNeuron"
"cell_447",6944.04,385.52,"L5 eNeuron"
"cell_450",6875.36,-256.58,"L6 eNeuron"
"cell_452",6881.56,91.3199999999999,"L6 eNeuron"
"cell_454",6825.93,223.82,"L6 eNeuron"
"cell_455",6789.47,-72.98,"L6 eNeuron"
"cell_457",6732.57,923.04,"L6 eNeuron"
"cell_458",6716.77,297.22,"L6 eNeuron"
"cell_463",6615.87,1036.35,"L6 eNeuron"
"cell_464",6621.07,-312.98,"L6 eNeuron"
"cell_465",6615.17,788.88,"L6 eNeuron"
"cell_466",6571.67,847.55,"L6 eNeuron"
"cell_467",6541.77,48.72,"L5 eNeuron"
"cell_468",6536.77,733.59,"L6 eNeuron"
"cell_470",6520.87,1004.28,"L6 eNeuron"
"cell_471",6467.07,1080.17,"L6 eNeuron"
"cell_472",6467.47,-88.78,"L6 eNeuron"
"cell_474",6408.47,826.31,"L6 eNeuron"
"cell_475",6368.87,-221.88,"L6 eNeuron"
"cell_476",6358.77,379.52,"L6 eNeuron"
"cell_477",6360.87,-35.3800000000001,"L6 eNeuron"
"cell_478",6338.87,85.6199999999999,"L6 eNeuron"
"cell_479",6329.07,225.72,"L5 eNeuron"
"cell_480",6312.77,871.45,"L5 eNeuron"
"cell_483",6202.27,360.72,"L6 eNeuron"
"cell_489",7253.27,936.48,"L6 eNeuron"
"cell_492",7224.04,382.12,"L6 eNeuron"
"cell_493",7206.83,631.2,"L6 eNeuron"
"cell_494",7125.99,167.42,"L5 eNeuron"
"cell_495",6992.58,103.02,"L6 eNeuron"
"cell_497",6666.77,378.82,"L6 eNeuron"
"cell_498",6589.07,505.09,"L6 eNeuron"
