"cell_id","sdimx","sdimy","cell_type","sample_id","slice_id","class_label","label"
"155018297299258801892171185339964010337",-4885.65070922027,-4100.74848900417,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"155189729054054582730565590075652159364",-4693.58672165659,-4244.98753786067,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"155217101765086991056240589055009276553",-4501.36464893385,-4134.92290760912,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"155353932138993656320193572203642280769",-4569.710747805,-3956.98643645074,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"15541464443774248198160641878204715690",-6062.35368367737,-4463.96084769545,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_1"
"155418576001853250223895588146938195328",-4134.64390113795,-4239.23010913839,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"155665981118489608831672622970552544222",-5219.25095464516,-4275.68918504646,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"155674871806441454006459377189184055865",-3863.73965368811,-5502.7362412619,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_2"
"155727123422487618717564850523501161663",-5346.12065956904,-4614.20738947312,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"155735352265872881719845357780944552133",-6727.00716481316,-4403.35247577158,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_1"
"155792650193570572774594257256879675492",-5799.82864046883,-4380.71529221506,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_3"
"155818758333933481584945444411957345880",-4223.61354444633,-4674.41393443422,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"155984882639713454763529940447101982297",-4344.52727569329,-5058.67735379311,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"156059731199948545337931623324418508418",-4370.80926013092,-4878.19874687733,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_9"
"156082410122301569237248494647678741685",-6305.82051000889,-4851.22276336735,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_4"
"156224641177399548634185999675532597488",-5588.31004572408,-4624.83449071782,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"15623638990223329094922977732752113960",-5995.72996450052,-4118.96991886997,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_4"
"156468330005181484927738523963931311548",-6271.16866199906,-4277.24666076894,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"156548566132062118335996592679056518863",-4529.64885521808,-4657.33954922387,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"156614734258489823722547531250503447442",-5214.05305698484,-4069.86235213424,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"156715548441499586837105999084416741562",-4362.93951392649,-4048.44809327035,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"156761743057422741959706195968422018731",-5711.10333166241,-4128.04460895417,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_2"
"156905650272199719687265836646326357031",-4889.96922796098,-3831.42215405289,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"156910699410734374793368555984568696142",-6755.38170154246,-4007.36036609674,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_4"
"156936801465488022450188643743042869437",-4132.25447630208,-5348.86500116094,"L6b","mouse1_sample5","mouse1_slice212","Glutamatergic","L6b_1"
"15694439258981125820244158960001252140",-5252.00197222697,-4534.26590012596,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_1"
"156977361542718834643329972492395638118",-4845.67472982288,-3771.41597131889,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"156979117823852584239794091645474291870",-5631.91463550335,-4253.06707932502,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"157083167616539730437266246609651454280",-6550.40025431497,-3972.67954599055,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"157127743973340731851537904811976503558",-4598.64924709297,-4152.38277090134,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"15713393263986858449369712339356840144",-4371.68030118264,-4707.86084270993,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"15713882919152694556333133111115223994",-6016.64855843666,-3981.75716430829,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"157145895665282155938002901372703074866",-6323.66713882848,-4596.44858091607,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"157163588567302497377257305679423900667",-6694.71175641212,-4359.52675798733,"L5/6 NP","mouse1_sample5","mouse1_slice212","Glutamatergic","L56_NP_1"
"157176586750037676113317570649899818341",-4629.98548724873,-4818.06602163432,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"157196906315170043088732561145481557760",-4868.69639402615,-4471.70372651062,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"157313192282307408632547724832173322308",-5552.43632481894,-4011.96928561211,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_2"
"157402009549749457145820139721621584195",-6441.67227033382,-3948.59033709942,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"157452673010308162434248514094782426381",-4287.99624327883,-5056.31717332107,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"157665098814222598819478957362249290487",-4077.13138356242,-4522.62005264329,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"158065829568522930530626869620927161491",-6416.37292790807,-3789.29666502891,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_2"
"158205447910115330637217628526439030929",-4229.73108377321,-4941.60720680125,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"158235824414382577069915210063422685366",-4855.02935801773,-4353.48864967089,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"158241114578054919873036583876298617287",-5320.23061619155,-3808.65221018721,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"158303841215829741744509225925047975625",-4443.85039269194,-4318.62165467821,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"158384931568543634660714090000112884309",-5533.10456821986,-4801.42969158116,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"158389587431452609573487749557076557574",-6305.18335160463,-4928.87873352438,"L6b","mouse1_sample5","mouse1_slice212","Glutamatergic","L6b_2"
"158436906847241619497374157782573786916",-6417.7409332115,-4814.97908292275,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_1"
"158628583408094063037086502837377250738",-4023.92279012039,-4531.18821752896,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"15865228631206539976471151400119174857",-4762.85344421403,-3893.08639951773,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"15871108284930531873424824897740525269",-5966.77224478131,-3884.34860980238,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"158870989102207344931509022047139264596",-5873.8560429555,-4686.12807642999,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_6"
"158932090641509693046772536821350422026",-4124.98635939247,-4157.5911445116,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"15903924118152555826432707530435394105",-5192.86822714073,-4110.60627601191,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"159147613566373419092578464093310904620",-5859.37840528056,-4849.02943579777,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_2"
"159149345505161905634882597929913863275",-4949.42075521871,-4787.98407129592,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"15918106695981350840740902880042204238",-4035.2643725,-4093.87541147978,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"159237420233953216788970069010758029884",-5918.86536416305,-4634.10775767893,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_2"
"159327352119267086618848238149170282723",-4211.63282295842,-4205.15173718484,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_2"
"159331061734866676511093118351783576905",-5190.7883499661,-4120.9036425734,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"159353580890900231856721329457594648761",-4386.56329861656,-4691.89462867015,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"159373203138402997376451780362464484515",-4962.45961611242,-4629.33637960901,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"159386019953218360890837313954483909868",-4365.1407344082,-4368.49722987989,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"159483767620958642185520748802189378691",-5829.70995129978,-4166.30256060953,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"159488030815962812148496753897050881607",-6029.92025263489,-4423.43069894464,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"159511550412976785286665117918097419632",-4676.95306163622,-4832.04197613934,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"159595095937186673286536624049928505066",-4408.0865323918,-4975.19600707115,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_2"
"159674035532802257366286995348231372824",-5155.93741282549,-4773.21610941236,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"159772606471062439190503589934947928281",-4388.55440986742,-4913.14591812169,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
